Driver,LapNumber,LapTime,Compound,TyreLife,Stint,TrackStatus,PitInTime,PitOutTime,Sector1Time,Sector2Time,Sector3Time,Position,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,Year,GrandPrix,Session
RUS,31.0,0 days 00:01:30.318000,HARD,7.0,1.0,1,,,0 days 00:00:30.102000,0 days 00:00:34.570000,0 days 00:00:25.646000,3.0,90.318,30.102,34.57,25.646,2025,Miami,R
RUS,32.0,0 days 00:01:31.208000,HARD,8.0,1.0,1,,,0 days 00:00:30.209000,0 days 00:00:34.970000,0 days 00:00:26.029000,3.0,91.208,30.209,34.97,26.029,2025,Miami,R
RUS,33.0,0 days 00:01:58.663000,MEDIUM,1.0,2.0,167,,,0 days 00:00:38.246000,0 days 00:00:47.145000,0 days 00:00:33.272000,3.0,118.663,38.246,47.145,33.272,2025,Miami,R
RUS,34.0,0 days 00:01:30.826000,MEDIUM,2.0,2.0,1,,,0 days 00:00:30.357000,0 days 00:00:34.736000,0 days 00:00:25.733000,3.0,90.826,30.357,34.736,25.733,2025,Miami,R
RUS,35.0,0 days 00:01:30.856000,MEDIUM,3.0,2.0,1,,,0 days 00:00:30.327000,0 days 00:00:34.820000,0 days 00:00:25.709000,3.0,90.856,30.327,34.82,25.709,2025,Miami,R
RUS,36.0,0 days 00:01:31.119000,MEDIUM,4.0,2.0,1,,,0 days 00:00:30.419000,0 days 00:00:34.851000,0 days 00:00:25.849000,3.0,91.119,30.419,34.851,25.849,2025,Miami,R
RUS,37.0,0 days 00:01:31.197000,MEDIUM,5.0,2.0,1,,,0 days 00:00:30.416000,0 days 00:00:34.951000,0 days 00:00:25.830000,3.0,91.197,30.416,34.951,25.83,2025,Miami,R
RUS,38.0,0 days 00:01:30.859000,MEDIUM,6.0,2.0,1,,,0 days 00:00:30.202000,0 days 00:00:34.839000,0 days 00:00:25.818000,3.0,90.859,30.202,34.839,25.818,2025,Miami,R
RUS,39.0,0 days 00:01:31,MEDIUM,7.0,2.0,1,,,0 days 00:00:30.272000,0 days 00:00:34.908000,0 days 00:00:25.820000,3.0,91.0,30.272,34.908,25.82,2025,Miami,R
RUS,40.0,0 days 00:01:30.903000,MEDIUM,8.0,2.0,1,,,0 days 00:00:30.201000,0 days 00:00:34.895000,0 days 00:00:25.807000,3.0,90.903,30.201,34.895,25.807,2025,Miami,R
RUS,41.0,0 days 00:01:30.848000,MEDIUM,9.0,2.0,1,,,0 days 00:00:30.198000,0 days 00:00:34.915000,0 days 00:00:25.735000,3.0,90.848,30.198,34.915,25.735,2025,Miami,R
RUS,42.0,0 days 00:01:30.755000,MEDIUM,10.0,2.0,1,,,0 days 00:00:30.082000,0 days 00:00:34.867000,0 days 00:00:25.806000,3.0,90.755,30.082,34.867,25.806,2025,Miami,R
RUS,43.0,0 days 00:01:30.960000,MEDIUM,11.0,2.0,1,,,0 days 00:00:30.116000,0 days 00:00:35.035000,0 days 00:00:25.809000,3.0,90.96,30.116,35.035,25.809,2025,Miami,R
RUS,44.0,0 days 00:01:30.795000,MEDIUM,12.0,2.0,1,,,0 days 00:00:30.109000,0 days 00:00:34.904000,0 days 00:00:25.782000,3.0,90.795,30.109,34.904,25.782,2025,Miami,R
RUS,45.0,0 days 00:01:30.837000,MEDIUM,13.0,2.0,1,,,0 days 00:00:30.161000,0 days 00:00:34.916000,0 days 00:00:25.760000,3.0,90.837,30.161,34.916,25.76,2025,Miami,R
RUS,46.0,0 days 00:01:30.778000,MEDIUM,14.0,2.0,1,,,0 days 00:00:30.145000,0 days 00:00:34.837000,0 days 00:00:25.796000,3.0,90.778,30.145,34.837,25.796,2025,Miami,R
RUS,47.0,0 days 00:01:30.879000,MEDIUM,15.0,2.0,1,,,0 days 00:00:30.224000,0 days 00:00:34.884000,0 days 00:00:25.771000,3.0,90.879,30.224,34.884,25.771,2025,Miami,R
RUS,48.0,0 days 00:01:30.821000,MEDIUM,16.0,2.0,1,,,0 days 00:00:30.211000,0 days 00:00:34.846000,0 days 00:00:25.764000,3.0,90.821,30.211,34.846,25.764,2025,Miami,R
RUS,49.0,0 days 00:01:30.942000,MEDIUM,17.0,2.0,1,,,0 days 00:00:30.212000,0 days 00:00:34.999000,0 days 00:00:25.731000,3.0,90.942,30.212,34.999,25.731,2025,Miami,R
RUS,50.0,0 days 00:01:30.752000,MEDIUM,18.0,2.0,1,,,0 days 00:00:30.173000,0 days 00:00:34.797000,0 days 00:00:25.782000,3.0,90.752,30.173,34.797,25.782,2025,Miami,R
RUS,51.0,0 days 00:01:30.644000,MEDIUM,19.0,2.0,1,,,0 days 00:00:30.093000,0 days 00:00:34.846000,0 days 00:00:25.705000,3.0,90.644,30.093,34.846,25.705,2025,Miami,R
RUS,52.0,0 days 00:01:30.637000,MEDIUM,20.0,2.0,1,,,0 days 00:00:30.065000,0 days 00:00:34.810000,0 days 00:00:25.762000,3.0,90.637,30.065,34.81,25.762,2025,Miami,R
RUS,53.0,0 days 00:01:30.518000,MEDIUM,21.0,2.0,1,,,0 days 00:00:30.048000,0 days 00:00:34.700000,0 days 00:00:25.770000,3.0,90.518,30.048,34.7,25.77,2025,Miami,R
RUS,54.0,0 days 00:01:30.516000,MEDIUM,22.0,2.0,1,,,0 days 00:00:29.877000,0 days 00:00:34.924000,0 days 00:00:25.715000,3.0,90.516,29.877,34.924,25.715,2025,Miami,R
RUS,55.0,0 days 00:01:30.789000,MEDIUM,23.0,2.0,1,,,0 days 00:00:30.054000,0 days 00:00:34.941000,0 days 00:00:25.794000,3.0,90.789,30.054,34.941,25.794,2025,Miami,R
RUS,56.0,0 days 00:01:31.001000,MEDIUM,24.0,2.0,1,,,0 days 00:00:30.071000,0 days 00:00:35.199000,0 days 00:00:25.731000,3.0,91.001,30.071,35.199,25.731,2025,Miami,R
RUS,57.0,0 days 00:01:31.005000,MEDIUM,25.0,2.0,1,,,0 days 00:00:30.205000,0 days 00:00:35.031000,0 days 00:00:25.769000,3.0,91.005,30.205,35.031,25.769,2025,Miami,R
