Driver,LapNumber,LapTime,Compound,TyreLife,Stint,TrackStatus,PitInTime,PitOutTime,Sector1Time,Sector2Time,Sector3Time,Position,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,Year,GrandPrix,Session
RUS,34.0,0 days 00:01:22.475000,HARD,5.0,3.0,1,,,0 days 00:00:26.158000,0 days 00:00:29.027000,0 days 00:00:27.290000,11.0,82.475,26.158,29.027,27.29,2025,Emilia Romagna,R
RUS,35.0,0 days 00:01:21.852000,HARD,6.0,3.0,1,,,0 days 00:00:25.653000,0 days 00:00:28.650000,0 days 00:00:27.549000,10.0,81.852,25.653,28.65,27.549,2025,Emilia Romagna,R
RUS,36.0,0 days 00:01:20.675000,HARD,7.0,3.0,1,,,0 days 00:00:25.375000,0 days 00:00:28.327000,0 days 00:00:26.973000,9.0,80.675,25.375,28.327,26.973,2025,Emilia Romagna,R
RUS,37.0,0 days 00:01:20.544000,HARD,8.0,3.0,1,,,0 days 00:00:25.517000,0 days 00:00:28.157000,0 days 00:00:26.870000,9.0,80.544,25.517,28.157,26.87,2025,Emilia Romagna,R
RUS,38.0,0 days 00:01:20.462000,HARD,9.0,3.0,1,,,0 days 00:00:25.551000,0 days 00:00:28.113000,0 days 00:00:26.798000,9.0,80.462,25.551,28.113,26.798,2025,Emilia Romagna,R
RUS,39.0,0 days 00:01:20.514000,HARD,10.0,3.0,1,,,0 days 00:00:25.556000,0 days 00:00:28.097000,0 days 00:00:26.861000,9.0,80.514,25.556,28.097,26.861,2025,Emilia Romagna,R
RUS,40.0,0 days 00:01:20.114000,HARD,11.0,3.0,1,,,0 days 00:00:25.348000,0 days 00:00:27.958000,0 days 00:00:26.808000,9.0,80.114,25.348,27.958,26.808,2025,Emilia Romagna,R
RUS,41.0,0 days 00:01:20.516000,HARD,12.0,3.0,1,,,0 days 00:00:25.544000,0 days 00:00:28.003000,0 days 00:00:26.969000,9.0,80.516,25.544,28.003,26.969,2025,Emilia Romagna,R
RUS,42.0,0 days 00:01:20.309000,HARD,13.0,3.0,1,,,0 days 00:00:25.427000,0 days 00:00:27.953000,0 days 00:00:26.929000,9.0,80.309,25.427,27.953,26.929,2025,Emilia Romagna,R
RUS,43.0,0 days 00:01:20.277000,HARD,14.0,3.0,1,,,0 days 00:00:25.335000,0 days 00:00:27.989000,0 days 00:00:26.953000,9.0,80.277,25.335,27.989,26.953,2025,Emilia Romagna,R
RUS,44.0,0 days 00:01:20.211000,HARD,15.0,3.0,1,,,0 days 00:00:25.429000,0 days 00:00:27.888000,0 days 00:00:26.894000,9.0,80.211,25.429,27.888,26.894,2025,Emilia Romagna,R
RUS,54.0,0 days 00:01:21.275000,HARD,25.0,3.0,1,,,0 days 00:00:26.027000,0 days 00:00:28.502000,0 days 00:00:26.746000,6.0,81.275,26.027,28.502,26.746,2025,Emilia Romagna,R
RUS,55.0,0 days 00:01:19.733000,HARD,26.0,3.0,1,,,0 days 00:00:25.246000,0 days 00:00:27.958000,0 days 00:00:26.529000,6.0,79.733,25.246,27.958,26.529,2025,Emilia Romagna,R
RUS,56.0,0 days 00:01:20.938000,HARD,27.0,3.0,1,,,0 days 00:00:25.502000,0 days 00:00:28.614000,0 days 00:00:26.822000,6.0,80.938,25.502,28.614,26.822,2025,Emilia Romagna,R
RUS,57.0,0 days 00:01:20.517000,HARD,28.0,3.0,1,,,0 days 00:00:25.726000,0 days 00:00:28.022000,0 days 00:00:26.769000,7.0,80.517,25.726,28.022,26.769,2025,Emilia Romagna,R
RUS,58.0,0 days 00:01:19.867000,HARD,29.0,3.0,1,,,0 days 00:00:25.199000,0 days 00:00:27.819000,0 days 00:00:26.849000,7.0,79.867,25.199,27.819,26.849,2025,Emilia Romagna,R
RUS,59.0,0 days 00:01:19.983000,HARD,30.0,3.0,1,,,0 days 00:00:25.277000,0 days 00:00:27.813000,0 days 00:00:26.893000,7.0,79.983,25.277,27.813,26.893,2025,Emilia Romagna,R
RUS,60.0,0 days 00:01:19.821000,HARD,31.0,3.0,1,,,0 days 00:00:25.202000,0 days 00:00:27.907000,0 days 00:00:26.712000,7.0,79.821,25.202,27.907,26.712,2025,Emilia Romagna,R
RUS,61.0,0 days 00:01:19.841000,HARD,32.0,3.0,1,,,0 days 00:00:25.030000,0 days 00:00:27.935000,0 days 00:00:26.876000,7.0,79.841,25.03,27.935,26.876,2025,Emilia Romagna,R
RUS,62.0,0 days 00:01:20.479000,HARD,33.0,3.0,1,,,0 days 00:00:25.394000,0 days 00:00:28.162000,0 days 00:00:26.923000,7.0,80.479,25.394,28.162,26.923,2025,Emilia Romagna,R
RUS,63.0,0 days 00:01:20.464000,HARD,34.0,3.0,1,,,0 days 00:00:25.316000,0 days 00:00:28.123000,0 days 00:00:27.025000,7.0,80.464,25.316,28.123,27.025,2025,Emilia Romagna,R
