Driver,LapNumber,LapTime,Compound,TyreLife,Stint,TrackStatus,PitInTime,PitOutTime,Sector1Time,Sector2Time,Sector3Time,Position,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,Year,GrandPrix,Session
RUS,32.0,0 days 00:01:32.031000,HARD,13.0,2.0,1,,,0 days 00:00:32.056000,0 days 00:00:41.982000,0 days 00:00:17.993000,5.0,92.031,32.056,41.982,17.993,2025,Japan,R
RUS,33.0,0 days 00:01:32.080000,HARD,14.0,2.0,1,,,0 days 00:00:32.014000,0 days 00:00:41.996000,0 days 00:00:18.070000,5.0,92.08,32.014,41.996,18.07,2025,Japan,R
RUS,34.0,0 days 00:01:32.219000,HARD,15.0,2.0,1,,,0 days 00:00:32.209000,0 days 00:00:42.012000,0 days 00:00:17.998000,5.0,92.219,32.209,42.012,17.998,2025,Japan,R
RUS,35.0,0 days 00:01:31.936000,HARD,16.0,2.0,1,,,0 days 00:00:31.869000,0 days 00:00:42.031000,0 days 00:00:18.036000,5.0,91.936,31.869,42.031,18.036,2025,Japan,R
RUS,36.0,0 days 00:01:31.823000,HARD,17.0,2.0,1,,,0 days 00:00:31.869000,0 days 00:00:42.020000,0 days 00:00:17.934000,5.0,91.823,31.869,42.02,17.934,2025,Japan,R
RUS,37.0,0 days 00:01:31.868000,HARD,18.0,2.0,1,,,0 days 00:00:31.950000,0 days 00:00:41.891000,0 days 00:00:18.027000,5.0,91.868,31.95,41.891,18.027,2025,Japan,R
RUS,38.0,0 days 00:01:31.840000,HARD,19.0,2.0,1,,,0 days 00:00:31.851000,0 days 00:00:41.979000,0 days 00:00:18.010000,5.0,91.84,31.851,41.979,18.01,2025,Japan,R
RUS,39.0,0 days 00:01:32.073000,HARD,20.0,2.0,1,,,0 days 00:00:31.946000,0 days 00:00:42.123000,0 days 00:00:18.004000,5.0,92.073,31.946,42.123,18.004,2025,Japan,R
RUS,40.0,0 days 00:01:31.915000,HARD,21.0,2.0,1,,,0 days 00:00:31.831000,0 days 00:00:42.082000,0 days 00:00:18.002000,5.0,91.915,31.831,42.082,18.002,2025,Japan,R
RUS,41.0,0 days 00:01:31.895000,HARD,22.0,2.0,1,,,0 days 00:00:31.784000,0 days 00:00:42.125000,0 days 00:00:17.986000,5.0,91.895,31.784,42.125,17.986,2025,Japan,R
RUS,42.0,0 days 00:01:32.135000,HARD,23.0,2.0,1,,,0 days 00:00:31.928000,0 days 00:00:42.217000,0 days 00:00:17.990000,5.0,92.135,31.928,42.217,17.99,2025,Japan,R
RUS,43.0,0 days 00:01:31.923000,HARD,24.0,2.0,1,,,0 days 00:00:31.806000,0 days 00:00:42.081000,0 days 00:00:18.036000,5.0,91.923,31.806,42.081,18.036,2025,Japan,R
RUS,44.0,0 days 00:01:31.778000,HARD,25.0,2.0,1,,,0 days 00:00:31.725000,0 days 00:00:42.056000,0 days 00:00:17.997000,5.0,91.778,31.725,42.056,17.997,2025,Japan,R
RUS,45.0,0 days 00:01:31.625000,HARD,26.0,2.0,1,,,0 days 00:00:31.602000,0 days 00:00:41.949000,0 days 00:00:18.074000,5.0,91.625,31.602,41.949,18.074,2025,Japan,R
RUS,46.0,0 days 00:01:31.552000,HARD,27.0,2.0,1,,,0 days 00:00:31.605000,0 days 00:00:42.027000,0 days 00:00:17.920000,5.0,91.552,31.605,42.027,17.92,2025,Japan,R
RUS,47.0,0 days 00:01:31.598000,HARD,28.0,2.0,1,,,0 days 00:00:31.720000,0 days 00:00:41.885000,0 days 00:00:17.993000,5.0,91.598,31.72,41.885,17.993,2025,Japan,R
RUS,48.0,0 days 00:01:31.543000,HARD,29.0,2.0,1,,,0 days 00:00:31.588000,0 days 00:00:41.971000,0 days 00:00:17.984000,5.0,91.543,31.588,41.971,17.984,2025,Japan,R
RUS,49.0,0 days 00:01:31.609000,HARD,30.0,2.0,1,,,0 days 00:00:31.597000,0 days 00:00:41.947000,0 days 00:00:18.065000,5.0,91.609,31.597,41.947,18.065,2025,Japan,R
RUS,50.0,0 days 00:01:31.370000,HARD,31.0,2.0,1,,,0 days 00:00:31.402000,0 days 00:00:41.945000,0 days 00:00:18.023000,5.0,91.37,31.402,41.945,18.023,2025,Japan,R
RUS,51.0,0 days 00:01:31.357000,HARD,32.0,2.0,1,,,0 days 00:00:31.474000,0 days 00:00:41.914000,0 days 00:00:17.969000,5.0,91.357,31.474,41.914,17.969,2025,Japan,R
RUS,52.0,0 days 00:01:31.627000,HARD,33.0,2.0,1,,,0 days 00:00:31.468000,0 days 00:00:41.982000,0 days 00:00:18.177000,5.0,91.627,31.468,41.982,18.177,2025,Japan,R
RUS,53.0,0 days 00:01:31.431000,HARD,34.0,2.0,1,,,0 days 00:00:31.354000,0 days 00:00:41.991000,0 days 00:00:18.086000,5.0,91.431,31.354,41.991,18.086,2025,Japan,R
