Time,Driver,LapNumber,LapTime,Compound,TyreLife,Stint,TrackStatus,PitInTime,PitOutTime,LapTimeSeconds,Year,GrandPrix
0 days 00:57:13.827000,PIA,1.0,0 days 00:01:38.693000,SOFT,4.0,1.0,1,,,98.693,2025,Bahrain
0 days 00:58:51.319000,PIA,2.0,0 days 00:01:37.492000,SOFT,5.0,1.0,1,,,97.492,2025,Bahrain
0 days 01:00:29.402000,PIA,3.0,0 days 00:01:38.083000,SOFT,6.0,1.0,1,,,98.083,2025,Bahrain
0 days 01:02:07.535000,PIA,4.0,0 days 00:01:38.133000,SOFT,7.0,1.0,1,,,98.133,2025,Bahrain
0 days 01:03:45.578000,PIA,5.0,0 days 00:01:38.043000,SOFT,8.0,1.0,1,,,98.043,2025,Bahrain
0 days 01:05:23.941000,PIA,6.0,0 days 00:01:38.363000,SOFT,9.0,1.0,1,,,98.363,2025,Bahrain
0 days 01:07:02.439000,PIA,7.0,0 days 00:01:38.498000,SOFT,10.0,1.0,1,,,98.498,2025,Bahrain
0 days 01:08:41.006000,PIA,8.0,0 days 00:01:38.567000,SOFT,11.0,1.0,1,,,98.567,2025,Bahrain
0 days 01:10:19.806000,PIA,9.0,0 days 00:01:38.800000,SOFT,12.0,1.0,1,,,98.8,2025,Bahrain
0 days 01:11:58.355000,PIA,10.0,0 days 00:01:38.549000,SOFT,13.0,1.0,1,,,98.549,2025,Bahrain
0 days 01:13:37.036000,PIA,11.0,0 days 00:01:38.681000,SOFT,14.0,1.0,1,,,98.681,2025,Bahrain
0 days 01:15:16.064000,PIA,12.0,0 days 00:01:39.028000,SOFT,15.0,1.0,1,,,99.028,2025,Bahrain
0 days 01:16:54.827000,PIA,13.0,0 days 00:01:38.763000,SOFT,16.0,1.0,1,,,98.763,2025,Bahrain
0 days 01:18:36.124000,PIA,14.0,0 days 00:01:41.297000,SOFT,17.0,1.0,1,0 days 01:18:34.427000,,101.297,2025,Bahrain
0 days 01:20:34.980000,PIA,15.0,0 days 00:01:58.856000,MEDIUM,1.0,2.0,1,,0 days 01:18:58.980000,118.856,2025,Bahrain
0 days 01:22:13.043000,PIA,16.0,0 days 00:01:38.063000,MEDIUM,2.0,2.0,1,,,98.063,2025,Bahrain
0 days 01:23:50.776000,PIA,17.0,0 days 00:01:37.733000,MEDIUM,3.0,2.0,1,,,97.733,2025,Bahrain
0 days 01:25:28.464000,PIA,18.0,0 days 00:01:37.688000,MEDIUM,4.0,2.0,1,,,97.688,2025,Bahrain
0 days 01:27:06.355000,PIA,19.0,0 days 00:01:37.891000,MEDIUM,5.0,2.0,1,,,97.891,2025,Bahrain
0 days 01:28:43.859000,PIA,20.0,0 days 00:01:37.504000,MEDIUM,6.0,2.0,1,,,97.504,2025,Bahrain
0 days 01:30:21.571000,PIA,21.0,0 days 00:01:37.712000,MEDIUM,7.0,2.0,1,,,97.712,2025,Bahrain
0 days 01:31:58.713000,PIA,22.0,0 days 00:01:37.142000,MEDIUM,8.0,2.0,1,,,97.142,2025,Bahrain
0 days 01:33:36.646000,PIA,23.0,0 days 00:01:37.933000,MEDIUM,9.0,2.0,1,,,97.933,2025,Bahrain
0 days 01:35:14.280000,PIA,24.0,0 days 00:01:37.634000,MEDIUM,10.0,2.0,1,,,97.634,2025,Bahrain
0 days 01:36:52.091000,PIA,25.0,0 days 00:01:37.811000,MEDIUM,11.0,2.0,1,,,97.811,2025,Bahrain
0 days 01:38:29.481000,PIA,26.0,0 days 00:01:37.390000,MEDIUM,12.0,2.0,1,,,97.39,2025,Bahrain
0 days 01:40:07.060000,PIA,27.0,0 days 00:01:37.579000,MEDIUM,13.0,2.0,1,,,97.579,2025,Bahrain
0 days 01:41:44.753000,PIA,28.0,0 days 00:01:37.693000,MEDIUM,14.0,2.0,1,,,97.693,2025,Bahrain
0 days 01:43:22.430000,PIA,29.0,0 days 00:01:37.677000,MEDIUM,15.0,2.0,1,,,97.677,2025,Bahrain
0 days 01:45:00.241000,PIA,30.0,0 days 00:01:37.811000,MEDIUM,16.0,2.0,1,,,97.811,2025,Bahrain
0 days 01:46:37.797000,PIA,31.0,0 days 00:01:37.556000,MEDIUM,17.0,2.0,1,,,97.556,2025,Bahrain
0 days 01:48:26.499000,PIA,32.0,0 days 00:01:48.702000,MEDIUM,18.0,2.0,14,0 days 01:48:24.783000,,108.702,2025,Bahrain
0 days 01:51:12.577000,PIA,33.0,,MEDIUM,1.0,3.0,4,,0 days 01:48:49.751000,,2025,Bahrain
0 days 01:53:33.140000,PIA,34.0,0 days 00:02:20.563000,MEDIUM,2.0,3.0,4,,,140.563,2025,Bahrain
0 days 01:55:59.373000,PIA,35.0,0 days 00:02:26.233000,MEDIUM,3.0,3.0,41,,,146.233,2025,Bahrain
0 days 01:57:34.513000,PIA,36.0,0 days 00:01:35.140000,MEDIUM,4.0,3.0,1,,,95.14,2025,Bahrain
0 days 01:59:09.888000,PIA,37.0,0 days 00:01:35.375000,MEDIUM,5.0,3.0,1,,,95.375,2025,Bahrain
0 days 02:00:45.885000,PIA,38.0,0 days 00:01:35.997000,MEDIUM,6.0,3.0,1,,,95.997,2025,Bahrain
0 days 02:02:22.059000,PIA,39.0,0 days 00:01:36.174000,MEDIUM,7.0,3.0,1,,,96.174,2025,Bahrain
0 days 02:03:58.419000,PIA,40.0,0 days 00:01:36.360000,MEDIUM,8.0,3.0,1,,,96.36,2025,Bahrain
0 days 02:05:34.745000,PIA,41.0,0 days 00:01:36.326000,MEDIUM,9.0,3.0,1,,,96.326,2025,Bahrain
0 days 02:07:10.994000,PIA,42.0,0 days 00:01:36.249000,MEDIUM,10.0,3.0,1,,,96.249,2025,Bahrain
0 days 02:08:47.112000,PIA,43.0,0 days 00:01:36.118000,MEDIUM,11.0,3.0,1,,,96.118,2025,Bahrain
0 days 02:10:23.401000,PIA,44.0,0 days 00:01:36.289000,MEDIUM,12.0,3.0,1,,,96.289,2025,Bahrain
0 days 02:11:59.436000,PIA,45.0,0 days 00:01:36.035000,MEDIUM,13.0,3.0,1,,,96.035,2025,Bahrain
0 days 02:13:35.334000,PIA,46.0,0 days 00:01:35.898000,MEDIUM,14.0,3.0,1,,,95.898,2025,Bahrain
0 days 02:15:11.424000,PIA,47.0,0 days 00:01:36.090000,MEDIUM,15.0,3.0,1,,,96.09,2025,Bahrain
0 days 02:16:47.781000,PIA,48.0,0 days 00:01:36.357000,MEDIUM,16.0,3.0,1,,,96.357,2025,Bahrain
0 days 02:18:24.596000,PIA,49.0,0 days 00:01:36.815000,MEDIUM,17.0,3.0,1,,,96.815,2025,Bahrain
0 days 02:20:00.859000,PIA,50.0,0 days 00:01:36.263000,MEDIUM,18.0,3.0,1,,,96.263,2025,Bahrain
0 days 02:21:36.964000,PIA,51.0,0 days 00:01:36.105000,MEDIUM,19.0,3.0,1,,,96.105,2025,Bahrain
0 days 02:23:12.925000,PIA,52.0,0 days 00:01:35.961000,MEDIUM,20.0,3.0,1,,,95.961,2025,Bahrain
0 days 02:24:49.258000,PIA,53.0,0 days 00:01:36.333000,MEDIUM,21.0,3.0,1,,,96.333,2025,Bahrain
0 days 02:26:25.487000,PIA,54.0,0 days 00:01:36.229000,MEDIUM,22.0,3.0,1,,,96.229,2025,Bahrain
0 days 02:28:01.746000,PIA,55.0,0 days 00:01:36.259000,MEDIUM,23.0,3.0,1,,,96.259,2025,Bahrain
0 days 02:29:37.989000,PIA,56.0,0 days 00:01:36.243000,MEDIUM,24.0,3.0,1,,,96.243,2025,Bahrain
0 days 02:31:14.577000,PIA,57.0,0 days 00:01:36.588000,MEDIUM,25.0,3.0,1,,,96.588,2025,Bahrain
0 days 00:57:14.716000,RUS,1.0,0 days 00:01:39.582000,SOFT,4.0,1.0,1,,,99.582,2025,Bahrain
0 days 00:58:52.533000,RUS,2.0,0 days 00:01:37.817000,SOFT,5.0,1.0,1,,,97.817,2025,Bahrain
0 days 01:00:30.819000,RUS,3.0,0 days 00:01:38.286000,SOFT,6.0,1.0,1,,,98.286,2025,Bahrain
0 days 01:02:09.197000,RUS,4.0,0 days 00:01:38.378000,SOFT,7.0,1.0,1,,,98.378,2025,Bahrain
0 days 01:03:47.801000,RUS,5.0,0 days 00:01:38.604000,SOFT,8.0,1.0,1,,,98.604,2025,Bahrain
0 days 01:05:26.268000,RUS,6.0,0 days 00:01:38.467000,SOFT,9.0,1.0,1,,,98.467,2025,Bahrain
0 days 01:07:04.954000,RUS,7.0,0 days 00:01:38.686000,SOFT,10.0,1.0,1,,,98.686,2025,Bahrain
0 days 01:08:43.961000,RUS,8.0,0 days 00:01:39.007000,SOFT,11.0,1.0,1,,,99.007,2025,Bahrain
0 days 01:10:22.861000,RUS,9.0,0 days 00:01:38.900000,SOFT,12.0,1.0,1,,,98.9,2025,Bahrain
0 days 01:12:01.750000,RUS,10.0,0 days 00:01:38.889000,SOFT,13.0,1.0,1,,,98.889,2025,Bahrain
0 days 01:13:40.902000,RUS,11.0,0 days 00:01:39.152000,SOFT,14.0,1.0,1,,,99.152,2025,Bahrain
0 days 01:15:20,RUS,12.0,0 days 00:01:39.098000,SOFT,15.0,1.0,1,,,99.098,2025,Bahrain
0 days 01:17:01.867000,RUS,13.0,0 days 00:01:41.867000,SOFT,16.0,1.0,1,0 days 01:17:00.288000,,101.867,2025,Bahrain
0 days 01:18:59.182000,RUS,14.0,0 days 00:01:57.315000,MEDIUM,1.0,2.0,1,,0 days 01:17:24.227000,117.315,2025,Bahrain
0 days 01:20:37.010000,RUS,15.0,0 days 00:01:37.828000,MEDIUM,2.0,2.0,1,,,97.828,2025,Bahrain
0 days 01:22:15.077000,RUS,16.0,0 days 00:01:38.067000,MEDIUM,3.0,2.0,1,,,98.067,2025,Bahrain
0 days 01:23:53.270000,RUS,17.0,0 days 00:01:38.193000,MEDIUM,4.0,2.0,1,,,98.193,2025,Bahrain
0 days 01:25:31.653000,RUS,18.0,0 days 00:01:38.383000,MEDIUM,5.0,2.0,1,,,98.383,2025,Bahrain
0 days 01:27:09.815000,RUS,19.0,0 days 00:01:38.162000,MEDIUM,6.0,2.0,1,,,98.162,2025,Bahrain
0 days 01:28:47.963000,RUS,20.0,0 days 00:01:38.148000,MEDIUM,7.0,2.0,1,,,98.148,2025,Bahrain
0 days 01:30:25.804000,RUS,21.0,0 days 00:01:37.841000,MEDIUM,8.0,2.0,1,,,97.841,2025,Bahrain
0 days 01:32:03.610000,RUS,22.0,0 days 00:01:37.806000,MEDIUM,9.0,2.0,1,,,97.806,2025,Bahrain
0 days 01:33:41.628000,RUS,23.0,0 days 00:01:38.018000,MEDIUM,10.0,2.0,1,,,98.018,2025,Bahrain
0 days 01:35:19.412000,RUS,24.0,0 days 00:01:37.784000,MEDIUM,11.0,2.0,1,,,97.784,2025,Bahrain
0 days 01:36:57.488000,RUS,25.0,0 days 00:01:38.076000,MEDIUM,12.0,2.0,1,,,98.076,2025,Bahrain
0 days 01:38:35.533000,RUS,26.0,0 days 00:01:38.045000,MEDIUM,13.0,2.0,1,,,98.045,2025,Bahrain
0 days 01:40:13.462000,RUS,27.0,0 days 00:01:37.929000,MEDIUM,14.0,2.0,1,,,97.929,2025,Bahrain
0 days 01:41:51.458000,RUS,28.0,0 days 00:01:37.996000,MEDIUM,15.0,2.0,1,,,97.996,2025,Bahrain
0 days 01:43:29.235000,RUS,29.0,0 days 00:01:37.777000,MEDIUM,16.0,2.0,1,,,97.777,2025,Bahrain
0 days 01:45:06.888000,RUS,30.0,0 days 00:01:37.653000,MEDIUM,17.0,2.0,1,,,97.653,2025,Bahrain
0 days 01:46:44.972000,RUS,31.0,0 days 00:01:38.084000,MEDIUM,18.0,2.0,1,,,98.084,2025,Bahrain
0 days 01:48:35.988000,RUS,32.0,0 days 00:01:51.016000,MEDIUM,19.0,2.0,14,0 days 01:48:34.368000,,111.016,2025,Bahrain
0 days 01:51:13.839000,RUS,33.0,,SOFT,4.0,3.0,4,,0 days 01:48:58.415000,,2025,Bahrain
0 days 01:53:34.359000,RUS,34.0,0 days 00:02:20.520000,SOFT,5.0,3.0,4,,,140.52,2025,Bahrain
0 days 01:55:59.888000,RUS,35.0,0 days 00:02:25.529000,SOFT,6.0,3.0,41,,,145.529,2025,Bahrain
0 days 01:57:35.406000,RUS,36.0,0 days 00:01:35.518000,SOFT,7.0,3.0,1,,,95.518,2025,Bahrain
0 days 01:59:11.248000,RUS,37.0,0 days 00:01:35.842000,SOFT,8.0,3.0,1,,,95.842,2025,Bahrain
0 days 02:00:47.455000,RUS,38.0,0 days 00:01:36.207000,SOFT,9.0,3.0,1,,,96.207,2025,Bahrain
0 days 02:02:23.853000,RUS,39.0,0 days 00:01:36.398000,SOFT,10.0,3.0,1,,,96.398,2025,Bahrain
0 days 02:04:00.324000,RUS,40.0,0 days 00:01:36.471000,SOFT,11.0,3.0,1,,,96.471,2025,Bahrain
0 days 02:05:36.715000,RUS,41.0,0 days 00:01:36.391000,SOFT,12.0,3.0,1,,,96.391,2025,Bahrain
0 days 02:07:12.995000,RUS,42.0,0 days 00:01:36.280000,SOFT,13.0,3.0,1,,,96.28,2025,Bahrain
0 days 02:08:49.660000,RUS,43.0,0 days 00:01:36.665000,SOFT,14.0,3.0,1,,,96.665,2025,Bahrain
0 days 02:10:26.545000,RUS,44.0,0 days 00:01:36.885000,SOFT,15.0,3.0,1,,,96.885,2025,Bahrain
0 days 02:12:03.291000,RUS,45.0,0 days 00:01:36.746000,SOFT,16.0,3.0,1,,,96.746,2025,Bahrain
0 days 02:13:39.747000,RUS,46.0,0 days 00:01:36.456000,SOFT,17.0,3.0,1,,,96.456,2025,Bahrain
0 days 02:15:16.455000,RUS,47.0,0 days 00:01:36.708000,SOFT,18.0,3.0,1,,,96.708,2025,Bahrain
0 days 02:16:53.201000,RUS,48.0,0 days 00:01:36.746000,SOFT,19.0,3.0,1,,,96.746,2025,Bahrain
0 days 02:18:30.516000,RUS,49.0,0 days 00:01:37.315000,SOFT,20.0,3.0,1,,,97.315,2025,Bahrain
0 days 02:20:07.489000,RUS,50.0,0 days 00:01:36.973000,SOFT,21.0,3.0,1,,,96.973,2025,Bahrain
0 days 02:21:44.866000,RUS,51.0,0 days 00:01:37.377000,SOFT,22.0,3.0,1,,,97.377,2025,Bahrain
0 days 02:23:22.147000,RUS,52.0,0 days 00:01:37.281000,SOFT,23.0,3.0,1,,,97.281,2025,Bahrain
0 days 02:24:59.559000,RUS,53.0,0 days 00:01:37.412000,SOFT,24.0,3.0,1,,,97.412,2025,Bahrain
0 days 02:26:36.928000,RUS,54.0,0 days 00:01:37.369000,SOFT,25.0,3.0,1,,,97.369,2025,Bahrain
0 days 02:28:14.315000,RUS,55.0,0 days 00:01:37.387000,SOFT,26.0,3.0,1,,,97.387,2025,Bahrain
0 days 02:29:52.159000,RUS,56.0,0 days 00:01:37.844000,SOFT,27.0,3.0,1,,,97.844,2025,Bahrain
0 days 02:31:30.115000,RUS,57.0,0 days 00:01:37.956000,SOFT,28.0,3.0,1,,,97.956,2025,Bahrain
0 days 00:57:15.558000,NOR,1.0,0 days 00:01:40.424000,SOFT,4.0,1.0,1,,,100.424,2025,Bahrain
0 days 00:58:53.468000,NOR,2.0,0 days 00:01:37.910000,SOFT,5.0,1.0,1,,,97.91,2025,Bahrain
0 days 01:00:31.885000,NOR,3.0,0 days 00:01:38.417000,SOFT,6.0,1.0,1,,,98.417,2025,Bahrain
0 days 01:02:10.120000,NOR,4.0,0 days 00:01:38.235000,SOFT,7.0,1.0,1,,,98.235,2025,Bahrain
0 days 01:03:48.724000,NOR,5.0,0 days 00:01:38.604000,SOFT,8.0,1.0,1,,,98.604,2025,Bahrain
0 days 01:05:27.294000,NOR,6.0,0 days 00:01:38.570000,SOFT,9.0,1.0,1,,,98.57,2025,Bahrain
0 days 01:07:05.762000,NOR,7.0,0 days 00:01:38.468000,SOFT,10.0,1.0,1,,,98.468,2025,Bahrain
0 days 01:08:44.732000,NOR,8.0,0 days 00:01:38.970000,SOFT,11.0,1.0,1,,,98.97,2025,Bahrain
0 days 01:10:23.836000,NOR,9.0,0 days 00:01:39.104000,SOFT,12.0,1.0,1,,,99.104,2025,Bahrain
0 days 01:12:05.370000,NOR,10.0,0 days 00:01:41.534000,SOFT,13.0,1.0,1,0 days 01:12:03.834000,,101.534,2025,Bahrain
0 days 01:14:08.221000,NOR,11.0,0 days 00:02:02.851000,MEDIUM,1.0,2.0,1,,0 days 01:12:33.449000,122.851,2025,Bahrain
0 days 01:15:46.088000,NOR,12.0,0 days 00:01:37.867000,MEDIUM,2.0,2.0,1,,,97.867,2025,Bahrain
0 days 01:17:23.541000,NOR,13.0,0 days 00:01:37.453000,MEDIUM,3.0,2.0,1,,,97.453,2025,Bahrain
0 days 01:19:02.314000,NOR,14.0,0 days 00:01:38.773000,MEDIUM,4.0,2.0,1,,,98.773,2025,Bahrain
0 days 01:20:40.061000,NOR,15.0,0 days 00:01:37.747000,MEDIUM,5.0,2.0,1,,,97.747,2025,Bahrain
0 days 01:22:18.455000,NOR,16.0,0 days 00:01:38.394000,MEDIUM,6.0,2.0,1,,,98.394,2025,Bahrain
0 days 01:23:56.022000,NOR,17.0,0 days 00:01:37.567000,MEDIUM,7.0,2.0,1,,,97.567,2025,Bahrain
0 days 01:25:33.692000,NOR,18.0,0 days 00:01:37.670000,MEDIUM,8.0,2.0,1,,,97.67,2025,Bahrain
0 days 01:27:11.347000,NOR,19.0,0 days 00:01:37.655000,MEDIUM,9.0,2.0,1,,,97.655,2025,Bahrain
0 days 01:28:49.273000,NOR,20.0,0 days 00:01:37.926000,MEDIUM,10.0,2.0,1,,,97.926,2025,Bahrain
0 days 01:30:27.256000,NOR,21.0,0 days 00:01:37.983000,MEDIUM,11.0,2.0,1,,,97.983,2025,Bahrain
0 days 01:32:05.043000,NOR,22.0,0 days 00:01:37.787000,MEDIUM,12.0,2.0,1,,,97.787,2025,Bahrain
0 days 01:33:43.177000,NOR,23.0,0 days 00:01:38.134000,MEDIUM,13.0,2.0,1,,,98.134,2025,Bahrain
0 days 01:35:21.160000,NOR,24.0,0 days 00:01:37.983000,MEDIUM,14.0,2.0,1,,,97.983,2025,Bahrain
0 days 01:37:00.450000,NOR,25.0,0 days 00:01:39.290000,MEDIUM,15.0,2.0,1,,,99.29,2025,Bahrain
0 days 01:38:38.665000,NOR,26.0,0 days 00:01:38.215000,MEDIUM,16.0,2.0,1,,,98.215,2025,Bahrain
0 days 01:40:16.635000,NOR,27.0,0 days 00:01:37.970000,MEDIUM,17.0,2.0,1,,,97.97,2025,Bahrain
0 days 01:41:54.584000,NOR,28.0,0 days 00:01:37.949000,MEDIUM,18.0,2.0,1,,,97.949,2025,Bahrain
0 days 01:43:32.714000,NOR,29.0,0 days 00:01:38.130000,MEDIUM,19.0,2.0,1,,,98.13,2025,Bahrain
0 days 01:45:10.450000,NOR,30.0,0 days 00:01:37.736000,MEDIUM,20.0,2.0,1,,,97.736,2025,Bahrain
0 days 01:46:48.377000,NOR,31.0,0 days 00:01:37.927000,MEDIUM,21.0,2.0,1,,,97.927,2025,Bahrain
0 days 01:48:40.081000,NOR,32.0,0 days 00:01:51.704000,MEDIUM,22.0,2.0,14,0 days 01:48:38.428000,,111.704,2025,Bahrain
0 days 01:51:16.679000,NOR,33.0,,MEDIUM,1.0,3.0,4,,0 days 01:49:02.487000,,2025,Bahrain
0 days 01:53:36.358000,NOR,34.0,0 days 00:02:19.679000,MEDIUM,2.0,3.0,4,,,139.679,2025,Bahrain
0 days 01:56:00.856000,NOR,35.0,0 days 00:02:24.498000,MEDIUM,3.0,3.0,41,,,144.498,2025,Bahrain
0 days 01:57:37.361000,NOR,36.0,0 days 00:01:36.505000,MEDIUM,4.0,3.0,1,,,96.505,2025,Bahrain
0 days 01:59:15.328000,NOR,37.0,0 days 00:01:37.967000,MEDIUM,5.0,3.0,1,,,97.967,2025,Bahrain
0 days 02:00:51.056000,NOR,38.0,0 days 00:01:35.728000,MEDIUM,6.0,3.0,1,,,95.728,2025,Bahrain
0 days 02:02:27.315000,NOR,39.0,0 days 00:01:36.259000,MEDIUM,7.0,3.0,1,,,96.259,2025,Bahrain
0 days 02:04:03.436000,NOR,40.0,0 days 00:01:36.121000,MEDIUM,8.0,3.0,1,,,96.121,2025,Bahrain
0 days 02:05:39.695000,NOR,41.0,0 days 00:01:36.259000,MEDIUM,9.0,3.0,1,,,96.259,2025,Bahrain
0 days 02:07:15.838000,NOR,42.0,0 days 00:01:36.143000,MEDIUM,10.0,3.0,1,,,96.143,2025,Bahrain
0 days 02:08:51.880000,NOR,43.0,0 days 00:01:36.042000,MEDIUM,11.0,3.0,1,,,96.042,2025,Bahrain
0 days 02:10:28.332000,NOR,44.0,0 days 00:01:36.452000,MEDIUM,12.0,3.0,1,,,96.452,2025,Bahrain
0 days 02:12:04.926000,NOR,45.0,0 days 00:01:36.594000,MEDIUM,13.0,3.0,1,,,96.594,2025,Bahrain
0 days 02:13:42.577000,NOR,46.0,0 days 00:01:37.651000,MEDIUM,14.0,3.0,1,,,97.651,2025,Bahrain
0 days 02:15:18.892000,NOR,47.0,0 days 00:01:36.315000,MEDIUM,15.0,3.0,1,,,96.315,2025,Bahrain
0 days 02:16:55.471000,NOR,48.0,0 days 00:01:36.579000,MEDIUM,16.0,3.0,1,,,96.579,2025,Bahrain
0 days 02:18:33.332000,NOR,49.0,0 days 00:01:37.861000,MEDIUM,17.0,3.0,1,,,97.861,2025,Bahrain
0 days 02:20:10.368000,NOR,50.0,0 days 00:01:37.036000,MEDIUM,18.0,3.0,1,,,97.036,2025,Bahrain
0 days 02:21:47.451000,NOR,51.0,0 days 00:01:37.083000,MEDIUM,19.0,3.0,1,,,97.083,2025,Bahrain
0 days 02:23:23.776000,NOR,52.0,0 days 00:01:36.325000,MEDIUM,20.0,3.0,1,,,96.325,2025,Bahrain
0 days 02:25:00.513000,NOR,53.0,0 days 00:01:36.737000,MEDIUM,21.0,3.0,1,,,96.737,2025,Bahrain
0 days 02:26:37.640000,NOR,54.0,0 days 00:01:37.127000,MEDIUM,22.0,3.0,1,,,97.127,2025,Bahrain
0 days 02:28:14.980000,NOR,55.0,0 days 00:01:37.340000,MEDIUM,23.0,3.0,1,,,97.34,2025,Bahrain
0 days 02:29:52.707000,NOR,56.0,0 days 00:01:37.727000,MEDIUM,24.0,3.0,1,,,97.727,2025,Bahrain
0 days 02:31:30.836000,NOR,57.0,0 days 00:01:38.129000,MEDIUM,25.0,3.0,1,,,98.129,2025,Bahrain
0 days 00:57:16.466000,LEC,1.0,0 days 00:01:41.332000,MEDIUM,1.0,1.0,1,,,101.332,2025,Bahrain
0 days 00:58:54.514000,LEC,2.0,0 days 00:01:38.048000,MEDIUM,2.0,1.0,1,,,98.048,2025,Bahrain
0 days 01:00:32.977000,LEC,3.0,0 days 00:01:38.463000,MEDIUM,3.0,1.0,1,,,98.463,2025,Bahrain
0 days 01:02:11.250000,LEC,4.0,0 days 00:01:38.273000,MEDIUM,4.0,1.0,1,,,98.273,2025,Bahrain
0 days 01:03:49.677000,LEC,5.0,0 days 00:01:38.427000,MEDIUM,5.0,1.0,1,,,98.427,2025,Bahrain
0 days 01:05:28.461000,LEC,6.0,0 days 00:01:38.784000,MEDIUM,6.0,1.0,1,,,98.784,2025,Bahrain
0 days 01:07:07.141000,LEC,7.0,0 days 00:01:38.680000,MEDIUM,7.0,1.0,1,,,98.68,2025,Bahrain
0 days 01:08:46.274000,LEC,8.0,0 days 00:01:39.133000,MEDIUM,8.0,1.0,1,,,99.133,2025,Bahrain
0 days 01:10:25.438000,LEC,9.0,0 days 00:01:39.164000,MEDIUM,9.0,1.0,1,,,99.164,2025,Bahrain
0 days 01:12:04.319000,LEC,10.0,0 days 00:01:38.881000,MEDIUM,10.0,1.0,1,,,98.881,2025,Bahrain
0 days 01:13:43.504000,LEC,11.0,0 days 00:01:39.185000,MEDIUM,11.0,1.0,1,,,99.185,2025,Bahrain
0 days 01:15:22.477000,LEC,12.0,0 days 00:01:38.973000,MEDIUM,12.0,1.0,1,,,98.973,2025,Bahrain
0 days 01:17:01.198000,LEC,13.0,0 days 00:01:38.721000,MEDIUM,13.0,1.0,1,,,98.721,2025,Bahrain
0 days 01:18:40.068000,LEC,14.0,0 days 00:01:38.870000,MEDIUM,14.0,1.0,1,,,98.87,2025,Bahrain
0 days 01:20:18.924000,LEC,15.0,0 days 00:01:38.856000,MEDIUM,15.0,1.0,1,,,98.856,2025,Bahrain
0 days 01:21:57.985000,LEC,16.0,0 days 00:01:39.061000,MEDIUM,16.0,1.0,1,,,99.061,2025,Bahrain
0 days 01:23:39.545000,LEC,17.0,0 days 00:01:41.560000,MEDIUM,17.0,1.0,1,0 days 01:23:38.022000,,101.56,2025,Bahrain
0 days 01:25:37.362000,LEC,18.0,0 days 00:01:57.817000,MEDIUM,1.0,2.0,1,,0 days 01:24:02.723000,117.817,2025,Bahrain
0 days 01:27:14.238000,LEC,19.0,0 days 00:01:36.876000,MEDIUM,2.0,2.0,1,,,96.876,2025,Bahrain
0 days 01:28:51.444000,LEC,20.0,0 days 00:01:37.206000,MEDIUM,3.0,2.0,1,,,97.206,2025,Bahrain
0 days 01:30:28.837000,LEC,21.0,0 days 00:01:37.393000,MEDIUM,4.0,2.0,1,,,97.393,2025,Bahrain
0 days 01:32:06.200000,LEC,22.0,0 days 00:01:37.363000,MEDIUM,5.0,2.0,1,,,97.363,2025,Bahrain
0 days 01:33:43.866000,LEC,23.0,0 days 00:01:37.666000,MEDIUM,6.0,2.0,1,,,97.666,2025,Bahrain
0 days 01:35:21.879000,LEC,24.0,0 days 00:01:38.013000,MEDIUM,7.0,2.0,1,,,98.013,2025,Bahrain
0 days 01:36:59.331000,LEC,25.0,0 days 00:01:37.452000,MEDIUM,8.0,2.0,1,,,97.452,2025,Bahrain
0 days 01:38:36.807000,LEC,26.0,0 days 00:01:37.476000,MEDIUM,9.0,2.0,1,,,97.476,2025,Bahrain
0 days 01:40:14.754000,LEC,27.0,0 days 00:01:37.947000,MEDIUM,10.0,2.0,1,,,97.947,2025,Bahrain
0 days 01:41:52.859000,LEC,28.0,0 days 00:01:38.105000,MEDIUM,11.0,2.0,1,,,98.105,2025,Bahrain
0 days 01:43:30.640000,LEC,29.0,0 days 00:01:37.781000,MEDIUM,12.0,2.0,1,,,97.781,2025,Bahrain
0 days 01:45:08.259000,LEC,30.0,0 days 00:01:37.619000,MEDIUM,13.0,2.0,1,,,97.619,2025,Bahrain
0 days 01:46:46.307000,LEC,31.0,0 days 00:01:38.048000,MEDIUM,14.0,2.0,1,,,98.048,2025,Bahrain
0 days 01:48:37.423000,LEC,32.0,0 days 00:01:51.116000,MEDIUM,15.0,2.0,14,0 days 01:48:35.804000,,111.116,2025,Bahrain
0 days 01:51:15.498000,LEC,33.0,,HARD,1.0,3.0,4,,0 days 01:49:00.041000,,2025,Bahrain
0 days 01:53:35.209000,LEC,34.0,0 days 00:02:19.711000,HARD,2.0,3.0,4,,,139.711,2025,Bahrain
0 days 01:56:00.787000,LEC,35.0,0 days 00:02:25.578000,HARD,3.0,3.0,41,,,145.578,2025,Bahrain
0 days 01:57:36.919000,LEC,36.0,0 days 00:01:36.132000,HARD,4.0,3.0,1,,,96.132,2025,Bahrain
0 days 01:59:13.243000,LEC,37.0,0 days 00:01:36.324000,HARD,5.0,3.0,1,,,96.324,2025,Bahrain
0 days 02:00:49.385000,LEC,38.0,0 days 00:01:36.142000,HARD,6.0,3.0,1,,,96.142,2025,Bahrain
0 days 02:02:25.583000,LEC,39.0,0 days 00:01:36.198000,HARD,7.0,3.0,1,,,96.198,2025,Bahrain
0 days 02:04:01.863000,LEC,40.0,0 days 00:01:36.280000,HARD,8.0,3.0,1,,,96.28,2025,Bahrain
